experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:27:36.852075+00:00,32.63049029401736,64,server,ubuntu,500,psutil,12915234453,26839596200,114,116,2.0,11551.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:37.352543+00:00,33.13095822799369,65,server,ubuntu,500,psutil,12915234641,26839596332,188,132,1.3,11551.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:37.853011+00:00,33.63142565501039,66,server,ubuntu,500,psutil,12915234735,26839596398,94,66,1.5,11551.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:38.353389+00:00,34.13180501500028,67,server,ubuntu,500,psutil,12915234829,26839596464,94,66,1.3,11551.9140625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:38.854210+00:00,34.63262523300364,68,server,ubuntu,500,psutil,12915234829,26839596464,0,0,1.5,11550.484375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:39.354807+00:00,35.13322249299381,69,server,ubuntu,500,psutil,12915234923,26839596530,94,66,1.3,11550.484375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:39.855293+00:00,35.633708145003766,70,server,ubuntu,500,psutil,12915234923,26839596530,0,0,1.5,11550.484375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:40.355797+00:00,36.13421259299503,71,server,ubuntu,500,psutil,12915235017,26839596596,94,66,1.3,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:40.856513+00:00,36.63492824201239,72,server,ubuntu,500,psutil,12915235244,26839597445,227,849,1.7,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:41.357002+00:00,37.13541675900342,73,server,ubuntu,500,psutil,12915235673,26839597686,429,241,1.3,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:41.857724+00:00,37.63613919899217,74,server,ubuntu,500,psutil,12915235779,26839597772,106,86,1.7,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:42.358111+00:00,38.13652678101789,75,server,ubuntu,500,psutil,12915235873,26839597838,94,66,1.3,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:42.858847+00:00,38.6372619800095,76,server,ubuntu,500,psutil,12915235873,26839597838,0,0,1.5,11550.5625,36.2,,,,,,,,,
